Proteins	Common-Name	Locations	Genes of polypeptide, complex, or RNA
SYNPCC7942_0370-MONOMER	O-acetylhomoserine/O-acetylserine sulfhydrylase		SYNPCC7942_0370
SYNPCC7942_1860-MONOMER	two component transcriptional regulator Rre1		SYNPCC7942_1860
SYNPCC7942_2122-MONOMER	carbamoyl-phosphate synthase, small subunit		SYNPCC7942_2122
SYNPCC7942_0735-MONOMER	conserved hypothetical protein		SYNPCC7942_0735
SYNPCC7942_2490-MONOMER	tRNA delta(2)-isopentenylpyrophosphate transferase		SYNPCC7942_2490
SYNPCC7942_1109-MONOMER	L-threonine-O-3-phosphate decarboxylase, putative		SYNPCC7942_1109
HTX97_RS00025-MONOMER	hypothetical protein		HTX97_RS00025
SYNPCC7942_1474-MONOMER	putative multicomponent Na+:H+ antiporter subunit C	CCO-MEMBRANE	SYNPCC7942_1474
SYNPCC7942_0354-MONOMER	Beta-glucosidase-related glycosidases-like		SYNPCC7942_0354
SYNPCC7942_1844-MONOMER	conserved hypothetical protein	CCI-CYTOSOL-GN	SYNPCC7942_1844
SYNPCC7942_2106-MONOMER	nitrate transport permease	CCI-PM-BAC-NEG-GN	SYNPCC7942_2106
SYNPCC7942_0719-MONOMER	conserved hypothetical protein		SYNPCC7942_0719
SYNPCC7942_2474-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2474
SYNPCC7942_1093-MONOMER	conserved hypothetical protein		SYNPCC7942_1093
SYNPCC7942_1458-MONOMER	conserved hypothetical protein		SYNPCC7942_1458
SYNPCC7942_0338-MONOMER	[2Fe-2S] ferredoxin		SYNPCC7942_0338
SYNPCC7942_1828-MONOMER	conserved hypothetical protein		SYNPCC7942_1828
SYNPCC7942_0703-MONOMER	DNA processing protein DprA, putative		SYNPCC7942_0703
SYNPCC7942_2458-MONOMER	ComEC/Rec2-related protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_2458
SYNPCC7942_1077-MONOMER	conserved hypothetical protein		SYNPCC7942_1077
SYNPCC7942_1442-MONOMER	conserved hypothetical protein		SYNPCC7942_1442
SYNPCC7942_0322-MONOMER	c-type cytochrome biogenesis protein	CCI-THY-MEM-CYA-GN	SYNPCC7942_0322
SYNPCC7942_1812-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1812
SYNPCC7942_0687-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0687
SYNPCC7942_2442-MONOMER	Phosphate ABC transporter, permease protein 2	CCI-PM-BAC-NEG-GN	SYNPCC7942_2442
SYNPCC7942_1061-MONOMER	conserved hypothetical protein		SYNPCC7942_1061
SYNPCC7942_1426-MONOMER	ribulose-bisphosphate carboxylase large subunit		SYNPCC7942_1426
SYNPCC7942_0306-MONOMER	hypothetical protein		SYNPCC7942_0306
SYNPCC7942_1796-MONOMER	conserved hypothetical protein		SYNPCC7942_1796
SYNPCC7942_0671-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0671
SYNPCC7942_2426-MONOMER	PetM	CCI-THY-MEM-CYA-GN	SYNPCC7942_2426
SYNPCC7942_1041-MONOMER	hypothetical protein		SYNPCC7942_1041
SYNPCC7942_1410-MONOMER	2-isopropylmalate synthase		SYNPCC7942_1410
SYNPCC7942_0290-MONOMER	dihydroorotate dehydrogenase (quinone)	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN	SYNPCC7942_0290
SYNPCC7942_1780-MONOMER	DNA mismatch repair protein MutL		SYNPCC7942_1780
SYNPCC7942_0655-MONOMER	D2 protein	CCI-THY-MEM-CYA-GN	SYNPCC7942_0655
SYNPCC7942_2407-MONOMER	conserved hypothetical protein		SYNPCC7942_2407
SYNPCC7942_1022-MONOMER	conserved hypothetical protein		SYNPCC7942_1022
SYNPCC7942_1391-MONOMER	Mg chelatase-related protein		SYNPCC7942_1391
SYNPCC7942_0271-MONOMER	uroporphyrin-III C-methyltransferase		SYNPCC7942_0271
SYNPCC7942_1761-MONOMER	conserved hypothetical protein		SYNPCC7942_1761
SYNPCC7942_0639-MONOMER	enolase	CCI-CYTOSOL-GN // CCI-EXTRACELLULAR-GN	SYNPCC7942_0639
SYNPCC7942_2391-MONOMER	oxidoreductase-like		SYNPCC7942_2391
SYNPCC7942_1006-MONOMER	TPR repeat		SYNPCC7942_1006
SYNPCC7942_1378-MONOMER	conserved hypothetical protein		SYNPCC7942_1378
SYNPCC7942_0255-MONOMER	ATPase		SYNPCC7942_0255
SYNPCC7942_1745-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1745
SYNPCC7942_0623-MONOMER	thioredoxin reductase	CCI-CYTOSOL-GN	SYNPCC7942_0623
SYNPCC7942_2375-MONOMER	D-alanine--D-alanine ligase	CCI-CYTOSOL-GN	SYNPCC7942_2375
SYNPCC7942_0990-MONOMER	bifunctional cobalamin biosynthesis protein CobP		SYNPCC7942_0990
SYNPCC7942_1362-MONOMER	murein-peptide ligase		SYNPCC7942_1362
SYNPCC7942_0239-MONOMER	cytochrome C6	CCI-THY-LUM-CYA-GN	SYNPCC7942_0239
SYNPCC7942_1729-MONOMER	potassium-transporting ATPase D chain	CCO-MEMBRANE	SYNPCC7942_1729
SYNPCC7942_0607-MONOMER	conserved hypothetical protein		SYNPCC7942_0607
SYNPCC7942_2097-MONOMER	conserved hypothetical protein		SYNPCC7942_2097
SYNPCC7942_2359-MONOMER	Na+/H+ antiporter	CCO-MEMBRANE	SYNPCC7942_2359
SYNPCC7942_0974-MONOMER	UDP-glucose dehydrogenase		SYNPCC7942_0974
SYNPCC7942_1346-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit E	CCI-THY-MEM-CYA-GN	SYNPCC7942_1346
SYNPCC7942_0223-MONOMER	hypothetical protein		SYNPCC7942_0223
SYNPCC7942_1713-MONOMER	probable hydrocarbon oxygenase MocD	CCO-MEMBRANE	SYNPCC7942_1713
SYNPCC7942_0591-MONOMER	membrane protein-like	CCO-MEMBRANE	SYNPCC7942_0591
SYNPCC7942_2081-MONOMER	probable glycosyl transferase		SYNPCC7942_2081
SYNPCC7942_2343-MONOMER	PsaI	CCI-THY-MEM-CYA-GN	SYNPCC7942_2343
SYNPCC7942_0958-MONOMER	phosphoribosylglycinamide formyltransferase		SYNPCC7942_0958
SYNPCC7942_1330-MONOMER	conserved hypothetical protein		SYNPCC7942_1330
SYNPCC7942_0207-MONOMER	hypothetical protein		SYNPCC7942_0207
SYNPCC7942_1697-MONOMER	Zn-finger, CDGSH type	CCI-CYTOSOL-GN	SYNPCC7942_1697
SYNPCC7942_0575-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0575
SYNPCC7942_2065-MONOMER	conserved hypothetical protein		SYNPCC7942_2065
SYNPCC7942_2327-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_2327
SYNPCC7942_0942-MONOMER	ATP-dependent metalloprotease FtsH	CCI-THY-MEM-CYA-GN	SYNPCC7942_0942
SYNPCC7942_1314-MONOMER	ATP-dependent metalloprotease FtsH	CCI-THY-MEM-CYA-GN	SYNPCC7942_1314
SYNPCC7942_0191-MONOMER	phosphoserine transaminase		SYNPCC7942_0191
SYNPCC7942_1681-MONOMER	sulfate transport system sulfate-binding protein	CCI-PERI-BAC-GN	SYNPCC7942_1681
SYNPCC7942_0559-MONOMER	33 kDa chaperonin	CCI-CYTOSOL-GN	SYNPCC7942_0559
SYNPCC7942_2049-MONOMER	PsaA	CCI-THY-MEM-CYA-GN	SYNPCC7942_2049
SYNPCC7942_2311-MONOMER	conserved hypothetical protein		SYNPCC7942_2311
SYNPCC7942_0926-MONOMER	conserved hypothetical protein		SYNPCC7942_0926
SYNPCC7942_1298-MONOMER	diguanylate cyclase (GGDEF domain)	CCO-MEMBRANE	SYNPCC7942_1298
SYNPCC7942_0175-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0175
SYNPCC7942_1665-MONOMER	probable oxidoreductase		SYNPCC7942_1665
SYNPCC7942_0543-MONOMER	conserved hypothetical protein		SYNPCC7942_0543
SYNPCC7942_2033-MONOMER	conserved hypothetical protein		SYNPCC7942_2033
SYNPCC7942_2295-MONOMER	conserved hypothetical protein		SYNPCC7942_2295
SYNPCC7942_0910-MONOMER	conserved hypothetical protein		SYNPCC7942_0910
SYNPCC7942_B2664-MONOMER	cysteine synthase A		SYNPCC7942_B2664
SYNPCC7942_1282-MONOMER			SYNPCC7942_1282
SYNPCC7942_0159-MONOMER	Mov34/MPN/PAD-1		SYNPCC7942_0159
SYNPCC7942_1649-MONOMER	rubrerythrin		SYNPCC7942_1649
SYNPCC7942_0527-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0527
SYNPCC7942_2017-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2017
SYNPCC7942_2279-MONOMER	ammonium transporter	CCI-PM-BAC-NEG-GN	SYNPCC7942_2279
SYNPCC7942_0894-MONOMER	Shikimate kinase	CCI-CYTOSOL-GN	SYNPCC7942_0894
SYNPCC7942_B2648-MONOMER	putative antitoxin		SYNPCC7942_B2648
SYNPCC7942_1266-MONOMER	Ham1-like protein		SYNPCC7942_1266
SYNPCC7942_0143-MONOMER	pyruvate dehydrogenase complex E1 component &beta; subunit		SYNPCC7942_0143
SYNPCC7942_1633-MONOMER	conserved hypothetical protein		SYNPCC7942_1633
SYNPCC7942_0511-MONOMER	Cytochrome c biogenesis protein ccsA	CCI-THY-MEM-CYA-GN	SYNPCC7942_0511
SYNPCC7942_2001-MONOMER	septum site-determining protein MinC		SYNPCC7942_2001
SYNPCC7942_2263-MONOMER	histidyl-tRNA synthetase	CCI-CYTOSOL-GN	SYNPCC7942_2263
SYNPCC7942_0878-MONOMER	ribonuclease, Rne/Rng family		SYNPCC7942_0878
SYNPCC7942_B2632-MONOMER	hypothetical protein	CCI-THY-MEM-CYA-GN	SYNPCC7942_B2632
SYNPCC7942_1250-MONOMER	PsaF	CCI-PM-BAC-NEG-GN // CCI-THY-MEM-CYA-GN	SYNPCC7942_1250
SYNPCC7942_0126-MONOMER	enoyl-(acyl-carrier-protein) reductase		SYNPCC7942_0126
SYNPCC7942_1617-MONOMER	inner membrane protein-like	CCI-PM-BAC-NEG-GN	SYNPCC7942_1617
SYNPCC7942_0495-MONOMER	hypothetical protein		SYNPCC7942_0495
SYNPCC7942_1985-MONOMER	conserved hypothetical protein		SYNPCC7942_1985
SYNPCC7942_2247-MONOMER	DNA mismatch repair protein MutS		SYNPCC7942_2247
SYNPCC7942_0862-MONOMER	conserved hypothetical protein		SYNPCC7942_0862
SYNPCC7942_B2616-MONOMER	conserved hypothetical protein		SYNPCC7942_B2616
SYNPCC7942_1234-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1234
SYNPCC7942_0110-MONOMER	transcriptional regulator, XRE family		SYNPCC7942_0110
SYNPCC7942_1601-MONOMER	conserved hypothetical protein		SYNPCC7942_1601
SYNPCC7942_0479-MONOMER	LepA	CCI-PM-BAC-NEG-GN	SYNPCC7942_0479
SYNPCC7942_1969-MONOMER	Transcriptional regulator AbrB		SYNPCC7942_1969
SYNPCC7942_2231-MONOMER	50S ribosomal subunit protein L4	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN	SYNPCC7942_2231
SYNPCC7942_0845-MONOMER	conserved hypothetical protein		SYNPCC7942_0845
SYNPCC7942_2599-MONOMER	conserved hypothetical protein		SYNPCC7942_2599
SYNPCC7942_1218-MONOMER	KaiA monomer		SYNPCC7942_1218
SYNPCC7942_0094-MONOMER	DNA polymerase III, delta prime subunit		SYNPCC7942_0094
SYNPCC7942_1585-MONOMER	N-acetylmuramoyl-L-alanine amidase, family 2		SYNPCC7942_1585
SYNPCC7942_0463-MONOMER	protein tyrosine phosphatase		SYNPCC7942_0463
SYNPCC7942_1953-MONOMER	6-pyruvoyl tetrahydrobiopterin synthase		SYNPCC7942_1953
SYNPCC7942_2215-MONOMER	50S ribosomal subunit protein L15	CCI-RIBOSOME-GN	SYNPCC7942_2215
SYNPCC7942_0828-MONOMER	conserved hypothetical protein		SYNPCC7942_0828
SYNPCC7942_2583-MONOMER	conserved hypothetical protein		SYNPCC7942_2583
SYNPCC7942_1202-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1202
SYNPCC7942_0078-MONOMER	Protein of unknown function UPF0047		SYNPCC7942_0078
SYNPCC7942_1569-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1569
SYNPCC7942_0447-MONOMER	endonuclease III		SYNPCC7942_0447
SYNPCC7942_1937-MONOMER	peptide methionine sulfoxide reductase		SYNPCC7942_1937
SYNPCC7942_2199-MONOMER	DNA polymerase III, &alpha; subunit Protein N-terminal part/intein	CCI-CYTOSOL-GN	SYNPCC7942_2199
SYNPCC7942_0812-MONOMER	Heat shock protein DnaJ-like		SYNPCC7942_0812
SYNPCC7942_2567-MONOMER	thiamine-monophosphate kinase		SYNPCC7942_2567
SYNPCC7942_1186-MONOMER	putative riboflavin-specific deaminase		SYNPCC7942_1186
SYNPCC7942_0062-MONOMER	glucose-1-phosphate cytidylyltransferase		SYNPCC7942_0062
SYNPCC7942_1553-MONOMER	Phosphoesterase PHP-like		SYNPCC7942_1553
SYNPCC7942_0431-MONOMER	conserved hypothetical protein		SYNPCC7942_0431
SYNPCC7942_1921-MONOMER	conserved hypothetical protein		SYNPCC7942_1921
SYNPCC7942_2183-MONOMER	ribonuclease HI	CCI-CYTOSOL-GN	SYNPCC7942_2183
SYNPCC7942_0796-MONOMER	conserved hypothetical protein		SYNPCC7942_0796
SYNPCC7942_2551-MONOMER	(NiFe) hydrogenase maturation protein HypF		SYNPCC7942_2551
SYNPCC7942_1170-MONOMER	MECDP-synthase		SYNPCC7942_1170
SYNPCC7942_0046-MONOMER	methylase involved in ubiquinone/menaquinone biosynthesis		SYNPCC7942_0046
SYNPCC7942_1536-MONOMER	probable amidotransferase		SYNPCC7942_1536
SYNPCC7942_0415-MONOMER	conserved hypothetical protein		SYNPCC7942_0415
SYNPCC7942_1905-MONOMER	cyclic nucleotide-binding domain (cNMP-BD) protein	CCO-MEMBRANE	SYNPCC7942_1905
SYNPCC7942_2167-MONOMER	conserved hypothetical protein		SYNPCC7942_2167
SYNPCC7942_0780-MONOMER	serine/threonine protein kinase	CCO-MEMBRANE	SYNPCC7942_0780
SYNPCC7942_2535-MONOMER	diguanylate cyclase (GGDEF domain) with PAS/PAC and GAF sensors	CCO-MEMBRANE	SYNPCC7942_2535
SYNPCC7942_1154-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1154
SYNPCC7942_0030-MONOMER	dethiobiotin synthase	CCI-CYTOSOL-GN	SYNPCC7942_0030
SYNPCC7942_1520-MONOMER	30S ribosomal subunit protein S20	CCI-RIBOSOME-GN	SYNPCC7942_1520
SYNPCC7942_0399-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0399
SYNPCC7942_1889-MONOMER	conserved hypothetical protein		SYNPCC7942_1889
SYNPCC7942_2151-MONOMER	Cellulose synthase (UDP-forming)	CCI-PM-BAC-NEG-GN	SYNPCC7942_2151
SYNPCC7942_0764-MONOMER	transcriptional regulator, XRE family		SYNPCC7942_0764
SYNPCC7942_2519-MONOMER	diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains) with PAS/PAC sensor(s)	CCI-PM-BAC-NEG-GN	SYNPCC7942_2519
SYNPCC7942_1138-MONOMER	conserved hypothetical protein YCF62	CCI-CYTOSOL-GN	SYNPCC7942_1138
SYNPCC7942_0014-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0014
SYNPCC7942_1504-MONOMER	conserved hypothetical protein		SYNPCC7942_1504
SYNPCC7942_0383-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0383
SYNPCC7942_1873-MONOMER	two component transcriptional regulator, winged helix family		SYNPCC7942_1873
SYNPCC7942_2135-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2135
SYNPCC7942_0748-MONOMER	phage major tail tube protein		SYNPCC7942_0748
SYNPCC7942_2503-MONOMER	light-dependent protochlorophyllide reductase		SYNPCC7942_2503
SYNPCC7942_1122-MONOMER	50S ribosomal subunit protein L33	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN	SYNPCC7942_1122
MONOMER490-8	hypothetical protein		G490-3
SYNPCC7942_1487-MONOMER	30S ribosomal subunit protein S4	CCI-RIBOSOME-GN	SYNPCC7942_1487
SYNPCC7942_0367-MONOMER	Na+-dependent transporter-like	CCO-MEMBRANE	SYNPCC7942_0367
SYNPCC7942_1857-MONOMER	3-hydroxyacid dehydrogenase		SYNPCC7942_1857
SYNPCC7942_2119-MONOMER	RNA methyltransferase TrmH, group 3	CCI-CYTOSOL-GN	SYNPCC7942_2119
SYNPCC7942_0732-MONOMER	conserved hypothetical protein		SYNPCC7942_0732
SYNPCC7942_2487-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit O	CCI-THY-MEM-CYA-GN // CCI-PM-BAC-NEG-GN	SYNPCC7942_2487
SYNPCC7942_1106-MONOMER	conserved hypothetical protein		SYNPCC7942_1106
HTX97_RS00010-MONOMER	hypothetical protein		HTX97_RS00010
SYNPCC7942_1471-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1471
SYNPCC7942_0351-MONOMER	ABC transport system substrate-binding protein	CCO-MEMBRANE	SYNPCC7942_0351
SYNPCC7942_1841-MONOMER	UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanyl ligase	CCI-CYTOSOL-GN	SYNPCC7942_1841
SYNPCC7942_2103-MONOMER	conserved hypothetical protein		SYNPCC7942_2103
SYNPCC7942_0716-MONOMER	conserved hypothetical protein		SYNPCC7942_0716
SYNPCC7942_2471-MONOMER	transcription antitermination factor NusB		SYNPCC7942_2471
SYNPCC7942_1090-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1090
SYNPCC7942_1455-MONOMER	3-oxoacyl-(acyl-carrier-protein) synthase III	CCI-CYTOSOL-GN	SYNPCC7942_1455
SYNPCC7942_0335-MONOMER	ATP synthase F1, &delta; subunit	CCI-THY-MEM-CYA-GN	SYNPCC7942_0335
SYNPCC7942_1825-MONOMER	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	CCO-MEMBRANE	SYNPCC7942_1825
SYNPCC7942_0700-MONOMER	conserved hypothetical protein		SYNPCC7942_0700
SYNPCC7942_2455-MONOMER	conserved hypothetical protein		SYNPCC7942_2455
SYNPCC7942_1074-MONOMER	conserved hypothetical protein		SYNPCC7942_1074
SYNPCC7942_1439-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit D2	CCI-THY-MEM-CYA-GN	SYNPCC7942_1439
SYNPCC7942_0319-MONOMER	hemolysin A		SYNPCC7942_0319
SYNPCC7942_1809-MONOMER	flavoprotein		SYNPCC7942_1809
SYNPCC7942_0684-MONOMER	FabG monomer		SYNPCC7942_0684
SYNPCC7942_2439-MONOMER	beta-carotene hydroxylase	CCO-MEMBRANE	SYNPCC7942_2439
SYNPCC7942_1057-MONOMER	thiamine-phosphate pyrophosphorylase		SYNPCC7942_1057
SYNPCC7942_1423-MONOMER	carboxysome assembly protein CcmM		SYNPCC7942_1423
SYNPCC7942_0303-MONOMER	response regulator receiver domain protein (CheY-like)	CCO-MEMBRANE	SYNPCC7942_0303
SYNPCC7942_1793-MONOMER	thioredoxin		SYNPCC7942_1793
SYNPCC7942_0668-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit P		SYNPCC7942_0668
SYNPCC7942_2423-MONOMER	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	CCI-CYTOSOL-GN	SYNPCC7942_2423
SYNPCC7942_1038-MONOMER	photosystem II oxygen-evolving complex 23K protein	CCI-THY-MEM-CYA-GN	SYNPCC7942_1038
SYNPCC7942_1407-MONOMER	Fe (III) ABC transporter permease protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_1407
SYNPCC7942_0287-MONOMER	hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_0287
SYNPCC7942_1777-MONOMER	conserved hypothetical protein		SYNPCC7942_1777
SYNPCC7942_0652-MONOMER	conserved hypothetical protein		SYNPCC7942_0652
SYNPCC7942_2404-MONOMER	conserved hypothetical protein		SYNPCC7942_2404
SYNPCC7942_1019-MONOMER	4-alpha-glucanotransferase		SYNPCC7942_1019
SYNPCC7942_1388-MONOMER	carbonic anhydrase EcaA		SYNPCC7942_1388
SYNPCC7942_0268-MONOMER	hypothetical protein		SYNPCC7942_0268
SYNPCC7942_1758-MONOMER	conserved hypothetical protein	CCI-CYTOSOL-GN	SYNPCC7942_1758
SYNPCC7942_0636-MONOMER	SecE subunit of protein translocation complex	CCI-THY-MEM-CYA-GN // CCI-PM-BAC-NEG-GN	SYNPCC7942_0636
SYNPCC7942_2388-MONOMER	Oxalate decarboxylase		SYNPCC7942_2388
SYNPCC7942_1003-MONOMER	anthranilate synthase component I		SYNPCC7942_1003
SYNPCC7942_1375-MONOMER	conserved hypothetical protein		SYNPCC7942_1375
SYNPCC7942_0252-MONOMER	hypothetical protein		SYNPCC7942_0252
SYNPCC7942_1742-MONOMER	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase monomer		SYNPCC7942_1742
SYNPCC7942_0620-MONOMER	conserved hypothetical protein		SYNPCC7942_0620
SYNPCC7942_2372-MONOMER	conserved hypothetical protein		SYNPCC7942_2372
SYNPCC7942_0987-MONOMER	Fur	CCI-CYTOSOL-GN	SYNPCC7942_0987
SYNPCC7942_1359-MONOMER	coenzyme F420 hydrogenase &beta; subunit		SYNPCC7942_1359
SYNPCC7942_0236-MONOMER	cyclic nucleotide-binding domain (cNMP-BD) protein	CCO-MEMBRANE	SYNPCC7942_0236
SYNPCC7942_1726-MONOMER	lipoprotein signal peptidase	CCI-PM-BAC-NEG-GN	SYNPCC7942_1726
SYNPCC7942_0604-MONOMER	ribulose-phosphate 3-epimerase		SYNPCC7942_0604
SYNPCC7942_2094-MONOMER	CO<sub>2</sub> hydration protein CupS		SYNPCC7942_2094
SYNPCC7942_2356-MONOMER	putative transcriptional regulator, Crp/Fnr family		SYNPCC7942_2356
SYNPCC7942_0971-MONOMER	conserved hypothetical protein		SYNPCC7942_0971
SYNPCC7942_1343-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit A	CCI-THY-MEM-CYA-GN	SYNPCC7942_1343
SYNPCC7942_0220-MONOMER	probable cell division inhibitor MinD		SYNPCC7942_0220
SYNPCC7942_1710-MONOMER	RNA polymerase subunit omega (rpoZ)		SYNPCC7942_1710
SYNPCC7942_0588-MONOMER	phosphoribosylglycinamide formyltransferase 2		SYNPCC7942_0588
SYNPCC7942_2078-MONOMER	phosphoglycerate mutase		SYNPCC7942_2078
SYNPCC7942_2340-MONOMER	GTP-binding protein		SYNPCC7942_2340
SYNPCC7942_0955-MONOMER	conserved hypothetical protein		SYNPCC7942_0955
SYNPCC7942_1327-MONOMER	hypothetical protein		SYNPCC7942_1327
SYNPCC7942_0204-MONOMER	conserved hypothetical protein		SYNPCC7942_0204
SYNPCC7942_1694-MONOMER	DNA topoisomerase IV, subunit A		SYNPCC7942_1694
SYNPCC7942_0572-MONOMER	conserved hypothetical protein		SYNPCC7942_0572
SYNPCC7942_2062-MONOMER	Lycopene cyclase, beta and epsilon		SYNPCC7942_2062
SYNPCC7942_2324-MONOMER			SYNPCC7942_2324
SYNPCC7942_0939-MONOMER	adenylylsulfate kinase		SYNPCC7942_0939
SYNPCC7942_1311-MONOMER	conserved hypothetical protein		SYNPCC7942_1311
SYNPCC7942_0188-MONOMER	diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains) with PAS/PAC sensor(s)		SYNPCC7942_0188
SYNPCC7942_1678-MONOMER	conserved hypothetical protein		SYNPCC7942_1678
SYNPCC7942_0556-MONOMER	SrrB response regulator		SYNPCC7942_0556
SYNPCC7942_2046-MONOMER	glycine cleavage system H protein	CCI-CYTOSOL-GN	SYNPCC7942_2046
SYNPCC7942_2308-MONOMER	glycine cleavage system T protein		SYNPCC7942_2308
SYNPCC7942_0923-MONOMER	Methylthioadenosine phosphorylase		SYNPCC7942_0923
SYNPCC7942_1295-MONOMER	Phospholipid/glycerol acyltransferase		SYNPCC7942_1295
SYNPCC7942_0172-MONOMER	hypothetical protein		SYNPCC7942_0172
SYNPCC7942_1662-MONOMER	cysteinyl-tRNA synthetase	CCI-CYTOSOL-GN	SYNPCC7942_1662
SYNPCC7942_0540-MONOMER	conserved hypothetical protein		SYNPCC7942_0540
SYNPCC7942_2030-MONOMER	28 kDa phycobilisome rod linker protein	CCI-THY-MEM-CYA-GN	SYNPCC7942_2030
SYNPCC7942_2292-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2292
SYNPCC7942_0907-MONOMER	conserved hypothetical protein		SYNPCC7942_0907
SYNPCC7942_B2661-MONOMER	cysteine desulfurase		SYNPCC7942_B2661
SYNPCC7942_1279-MONOMER	hypothetical protein		SYNPCC7942_1279
SYNPCC7942_0156-MONOMER	phosphoglucomutase		SYNPCC7942_0156
SYNPCC7942_1646-MONOMER	conserved hypothetical protein		SYNPCC7942_1646
SYNPCC7942_0524-MONOMER	conserved hypothetical protein		SYNPCC7942_0524
SYNPCC7942_2014-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2014
SYNPCC7942_2276-MONOMER	conserved hypothetical protein		SYNPCC7942_2276
SYNPCC7942_0891-MONOMER	conserved hypothetical protein		SYNPCC7942_0891
SYNPCC7942_B2645-MONOMER	conserved hypothetical protein		SYNPCC7942_B2645
SYNPCC7942_1263-MONOMER	N6-adenine-specific DNA methylase-like		SYNPCC7942_1263
SYNPCC7942_0140-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0140
SYNPCC7942_1630-MONOMER	cytochrome c553	CCI-THY-LUM-CYA-GN	SYNPCC7942_1630
SYNPCC7942_0508-MONOMER	geranylgeranyl reductase		SYNPCC7942_0508
SYNPCC7942_1998-MONOMER	GAF		SYNPCC7942_1998
SYNPCC7942_2260-MONOMER	conserved hypothetical protein		SYNPCC7942_2260
SYNPCC7942_0875-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0875
SYNPCC7942_B2629-MONOMER	sulfonate ABC transporter, periplasmic sulfonate-binding protein, putative	CCO-MEMBRANE	SYNPCC7942_B2629
SYNPCC7942_1247-MONOMER	conserved hypothetical protein		SYNPCC7942_1247
SYNPCC7942_0123-MONOMER	conserved hypothetical protein		SYNPCC7942_0123
SYNPCC7942_1614-MONOMER	50S ribosomal subunit protein L34	CCI-RIBOSOME-GN	SYNPCC7942_1614
SYNPCC7942_0492-MONOMER	riboflavin biosynthesis protein RibF		SYNPCC7942_0492
SYNPCC7942_1982-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit M	CCI-THY-MEM-CYA-GN	SYNPCC7942_1982
SYNPCC7942_2244-MONOMER	6,7-dimethyl-8-ribityllumazine synthase		SYNPCC7942_2244
SYNPCC7942_0859-MONOMER	CheA signal transduction histidine kinase	CCI-CYTOSOL-GN	SYNPCC7942_0859
SYNPCC7942_2612-MONOMER	threonine synthase		SYNPCC7942_2612
SYNPCC7942_1231-MONOMER	cytochrome f	CCI-THY-MEM-CYA-GN	SYNPCC7942_1231
SYNPCC7942_0107-MONOMER	Small GTP-binding protein domain	CCO-MEMBRANE	SYNPCC7942_0107
